Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
Дельта14ИП;7705285534;41403338B;07.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUJG1;RU000A0JUJG1;1000;RUR;27.03.2024;0;16.04.2014;27.03.2024;10.04.2014;1067,8;0;1070;5339000000;23,67;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1070;1403;1065;
ТБС 01;7801488551;4-01-36437-R;27.02.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUJP2;RU000A0JUJP2;1000;RUR;26.11.2020;0;23.05.2014;26.11.2020;24.04.2014;1000;0;1000;1500000000;31,89;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1500000;1500000;1500000000;0;1000;85;1000;12.12.2016
АрчерФин01;7723735867;4-01-36438-R;20.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUJW8;RU000A0JUJW8;1000;RUR;04.04.2017;0;13.05.2014;04.04.2017;10.04.2014;1013,7;0;1010;5980830000;37,16;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5900000;5900000;5900000000;0;1010;201;0;27.03.2017
iПолиплБ01;7708186108;4B02-01-06757-A;06.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUK84;RU000A0JUK84;1000;RUR;09.04.2019;0;15.04.2014;09.04.2019;15.04.2014;990,6;0;993;990600000;62,85;0;993;993,6;993,5;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;993;993;826;985,6;14.04.2017
ТрансФБО26;7708797192;4B02-26-36182-R;16.12.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUKA2;RU000A0JUKA2;1000;RUR;11.04.2019;0;18.04.2014;11.04.2019;17.04.2014;0;0;1000;0;42;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;4890100;5000000000;0;1000;0;0;
АИЖК 29об;7729355614;4-29-00739-A;28.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUKB0;RU000A0JUKB0;1000;RUR;15.10.2030;0;17.04.2014;15.10.2030;24.04.2014;0;0;1000;0;16,26;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;600,3;18.10.2016
РазгуляйБ3;7721262887;4B02-03-36098-R;16.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUKG9;RU000A0JUKG9;1000;RUR;16.04.2019;0;22.04.2014;16.04.2019;22.04.2014;0;0;49,3;0;0;0;0;0;0;0;07.09.2016;08.09.2016;EQDB;1000000;1000000;1000000000;0;49,3;0;40,099999999999994;
НацКап Б06;7708607451;4B02-06-62012-H;04.02.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUKS4;RU000A0JUKS4;1000;RUR;22.04.2019;0;29.04.2014;22.04.2019;28.04.2014;0;0;1000;0;34,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;1000;0;600,3;
НацКап Б07;7708607451;4B02-07-62012-H;04.02.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUKT2;RU000A0JUKT2;1000;RUR;22.04.2019;0;29.04.2014;22.04.2019;28.04.2014;0;0;1000;0;34,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;1000;0;600,3;
АИЖК 30об;7729355614;4-30-00739-A;28.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUKX4;RU000A0JUKX4;1000;RUR;01.03.2033;0;28.04.2014;01.03.2033;28.04.2014;1030;0;1030,6999999999998;6180000000;1,77;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;6000000;6000000000;0;1030,6999999999998;736;621;04.12.2018
УНГПФинБ3;7710665612;4B02-03-36263-R;13.12.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUKZ9;RU000A0JUKZ9;1000;RUR;20.04.2021;0;30.04.2014;20.04.2021;15.05.2014;0;0;1000;0;36,71;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;0;
ИнТехЭл Б1;7701633050;4B02-01-00171-R;27.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUL18;RU000A0JUL18;1000;RUR;21.04.2020;0;30.04.2014;21.04.2020;29.04.2014;0;0;1000;0;31,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;250000;250000;250000000;0;1000;0;600,1;
РосбнБСО12;7730060164;4B022902272B;01.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUL67;RU000A0JUL67;1000;RUR;30.04.2024;0;30.04.2014;30.04.2024;30.04.2014;0;0;1000;0;0,04;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000;0;600,3;
РосбнБСО13;7730060164;4B023002272B;01.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUL91;RU000A0JUL91;1000;RUR;30.04.2024;0;30.04.2014;30.04.2024;30.04.2014;0;0;1000;0;0,03;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000;0;600,3;
РосбнБСО14;7730060164;4B023102272B;01.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JULA0;RU000A0JULA0;1000;RUR;30.04.2024;0;30.04.2014;30.04.2024;30.04.2014;0;0;1000;0;0,02;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1000;0;600,3;
РосбнБСО15;7730060164;4B023202272B;01.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JULC6;RU000A0JULC6;1000;RUR;30.04.2024;0;30.04.2014;30.04.2024;30.04.2014;0;0;1000;0;0,01;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1000;0;600,3;
ВЭББ16вUSD;7750004150;4B02-16-00004-T;31.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JULN3;RU000A0JULN3;1000;USD;02.05.2017;0;07.05.2014;02.05.2017;06.05.2014;1018;1018;1018;509000000;2,96;664312,2;0;0;0;0;07.09.2016;08.09.2016;TQOD;500000;500000;500000000;0;1018;235;0;07.05.2015
СпартакБО1;1659045460;4B02-01-36114-R;23.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JULR4;RU000A0JULR4;1000;RUR;02.05.2017;0;07.05.2014;02.05.2017;06.05.2014;1000;0;1000;1500000000;48,71;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1500000;1500000;1500000000;0;1000;225;0;
ДельтКрБО6;7705285534;4B020603338B;29.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JULS2;RU000A0JULS2;1000;RUR;06.05.2024;0;06.05.2014;06.05.2024;06.05.2014;0;0;1000;0;35,16;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;919,5;
АИЖК 28об;7729355614;4-28-00739-A;28.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUM82;RU000A0JUM82;1000;RUR;15.01.2029;0;19.05.2014;15.01.2029;19.05.2014;0;0;1000;0;16,26;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;0;1000;0;600,3;18.10.2016
ГПБ БО-08;7744001497;4B020800354B;30.10.2012;об;ОАО Московская Биржа;7703507076;RU000A0JUMH3;RU000A0JUMH3;1000;RUR;23.05.2017;0;;23.05.2017;23.05.2014;1000;0;1000,1;10000000000;31,19;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1000,1;77;993,3;
ЮнКрБанБ21;7710030411;4B022100001B;13.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUMJ9;RU000A0JUMJ9;1000;RUR;17.05.2019;0;23.05.2014;17.05.2019;23.05.2014;0;0;985;0;27,12;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;985;0;937,5;27.05.2015
БашнфтБО5;0274051582;4B02-05-00013-A;22.07.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUML5;RU000A0JUML5;1000;RUR;13.05.2024;0;27.05.2014;13.05.2024;26.05.2014;0;0;985;0;31,37;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;985;0;971;22.11.2018
КраснЯрКр8;2460071533;RU34008KNA0;12.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUMN1;RU000A0JUMN1;800;RUR;08.07.2018;0;26.05.2014;;;812,24;0;813,12;8122400000;19,83;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;8000000000;0;813,12;400;810;
АИЖК БО-02;7729355614;4B02-02-00739-A;07.06.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUMQ4;RU000A0JUMQ4;1000;RUR;23.05.2017;0;27.05.2014;23.05.2017;27.05.2014;998,3;0;999,3000000000001;4991500000;4,01;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999,3000000000001;252;600,3;26.05.2016
МарЭл2014;1200000874;RU34007MAR0;23.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUMW2;RU000A0JUMW2;200;RUR;07.07.2018;0;28.05.2014;;;204,2;204,12;204,4;408400000;3,72;1839506,74;204,4;204,4;204,4;9,84;07.09.2016;08.09.2016;EQOB;2000000;2000000;400000000;204,4;204,4;448;203,02;
ЦентрИнБ10;6163011391;4B021002225B;22.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUMX0;RU000A0JUMX0;1000;RUR;22.05.2019;0;28.05.2014;22.05.2019;28.05.2014;0;0;999,7;0;28,77;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;999,7;0;981;25.05.2017
ЭлемЛизБО3;7706561875;4B02-03-36193-R;08.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUN08;RU000A0JUN08;1000;RUR;28.05.2019;0;04.06.2014;28.05.2019;03.06.2014;1003,8;0;1000,1999999999999;2007600000;3,18;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000,1999999999999;256;1000,1999999999999;06.06.2017
ДельтКрБО1;7705285534;4B020103338B;29.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JUN65;RU000A0JUN65;1000;RUR;05.06.2024;0;05.06.2014;05.06.2024;05.06.2014;0;0;0;0;27,17;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;0;0;600,3;07.06.2019
КОМИ 11 об;1101481969;RU35011KOM0;28.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUN81;RU000A0JUN81;500;RUR;27.11.2019;0;05.06.2014;;05.06.2014;510,55;0;517;5156555000;0,93;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10100000;10100000;5050000000;0;517;603;509,54999999999995;
МИА БО-03;7703247043;4B020303344B;28.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JUNB4;RU000A0JUNB4;1000;RUR;06.06.2017;0;;06.06.2017;06.06.2014;1012,3000000000001;1011,9;1013;4049200000,0000005;31,21;13432828,1;0;0;0;0;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;0;1013;262;1011;
РГСНедвиж1;7714311519;4-01-36440-R;22.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUND0;RU000A0JUND0;1000;RUR;02.06.2017;0;;02.06.2017;10.06.2014;999,4;0;1001;3198080000;35,51;0;1001;1001;1001;13,24;07.09.2016;08.09.2016;EQOB;3200000;3200000;3200000000;1001;1001;86;0;
КИТФКапБО3;7840417963;4B02-03-05003-R;15.08.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUNG3;RU000A0JUNG3;1000;RUR;05.06.2017;0;09.06.2014;05.06.2017;09.06.2014;973,5;0;973,5;1947000000;20,38;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;973,5;264;953;
ЛипецкОбл9;4825006353;RU34009LIP0;29.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUNK5;RU000A0JUNK5;700;RUR;04.06.2019;0;10.06.2014;;10.06.2014;711,76;711,76;712,04;3558800000;0,2;1081833,2;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;3500000000;0;712,04;625;706,3000000000001;
РусфинБО-8;5012003647;4B020801792B;29.03.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUNL3;RU000A0JUNL3;1000;RUR;10.06.2019;0;10.06.2014;10.06.2019;10.06.2014;1002;0;1001,5;4008000000;26,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;0;1001,5;94;1000,5;14.12.2016
АльфаБО-10;7728168971;4B021001326B;19.07.2012;об;ОАО Московская Биржа;7703507076;RU000A0JUNM1;RU000A0JUNM1;1000;RUR;11.06.2017;0;16.06.2014;11.06.2017;11.06.2014;1004,0999999999999;0;1005,5;5020500000;24,71;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1005,5;268;1003;14.06.2016
ИАМКБ2014А;7743901632;4-02-81652-H;27.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUNU4;RU000A0JUNU4;446,16;RUR;07.06.2039;0;17.06.2014;07.06.2039;16.06.2014;0;0;447,27540000000004;0;0;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3702139;3702139;1651746336,24;0;447,27540000000004;0;268,67755200000004;
ЗапСибКБ-2;7202021856;40200918B;20.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUP63;RU000A0JUP63;10;RUR;12.12.2019;0;18.07.2014;12.12.2019;11.07.2014;0;0;5;0;0,34;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;241358912;47844934;2413589120;0;5;0;0;
ВлгОб35005;3444130624;RU35005VLO0;09.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUP89;RU000A0JUP89;700;RUR;13.07.2019;0;19.06.2014;;19.06.2014;697,5500000000001;697,5500000000001;702,1;3487750000,0000005;16,32;3825214,96;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;3500000000;0;702,1;574;686,6999999999999;
ПЕРЕСВЕТ03;7703074601;40302110B;24.02.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUP97;RU000A0JUP97;1000;RUR;22.06.2017;0;20.06.2014;22.06.2017;20.06.2014;1002,6;1002,4;1002,6999999999999;2005200000;28,32;2729467,8;1002,6999999999999;1003;1003;13,17;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;1002,6999999999999;1002,6999999999999;277;1002,2;24.12.2014
ТГенерац1;7707808839;4-01-81226-H;03.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPA1;RU000A0JUPA1;1000;RUR;14.06.2019;0;23.06.2014;14.06.2019;20.06.2014;0;0;992;0;26,96;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1150000;1150000;1150000000;0;992;0;601,1;
КрЕврБ-Б18;7705148464;4B021803311B;28.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUPB9;RU000A0JUPB9;1000;RUR;26.06.2017;0;24.06.2014;26.06.2017;;1000,6;0;1000,1999999999999;5003000000;25,64;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000,1999999999999;281;986;01.07.2015
Оренб35002;5610013786;RU35002AOR0;11.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPE3;RU000A0JUPE3;900;RUR;14.06.2021;0;23.06.2014;;;917,91;0;921,6;5507460000;21,43;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;6000000;5400000000;0;921,6;561;877,14;
ИАСанр2А;7743893692;4-01-81223-H;11.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPF0;RU000A0JUPF0;450,29;RUR;28.02.2046;0;23.06.2014;28.02.2046;04.07.2014;441,28420000000005;0;442,63507000000004;442274000,4606001;1,17;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1002243;1002243;451300000,47;0;442,63507000000004;21;265,806187;
РСХБ БО7;7725114488;4B020703349B;21.07.2010;об;ОАО Московская Биржа;7703507076;RU000A0JUPQ7;RU000A0JUPQ7;1000;RUR;21.06.2017;0;25.06.2014;21.06.2017;25.06.2014;1001,5;0;1000,4000000000001;10015000000;21,62;0;1000,1999999999999;1002,5;1001,2;10,3;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;1000,1999999999999;1000,4000000000001;278;1000,5;
ВТБ24 6ИПА;7710353606;41601623B;05.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPS3;RU000A0JUPS3;671,44;RUR;14.08.2043;0;15.08.2014;14.08.2043;04.08.2014;0;0;0;0;0,33;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4000000;4000000;2685760000;0;0;0;403,06543200000004;
ВТБ24 6ИПБ;7710353606;41701623B;05.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPT1;RU000A0JUPT1;671,44;RUR;14.08.2043;0;15.08.2014;14.08.2043;04.08.2014;0;0;671,77572;0;0,11;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;1342880000;0;671,77572;0;403,73687200000006;
ИАСанр1А;7743893702;4-01-81222-H;11.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPU9;RU000A0JUPU9;449,45;RUR;28.07.2044;0;26.06.2014;28.07.2044;04.07.2014;438,7980349999999;0;447,87692499999997;454327536,2566849;1,14;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1035391;1035391;465356484,95;0;447,87692499999997;21;431,51694499999996;
ЗенитБО-13;7729405872;4B021303255B;30.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPW5;RU000A0JUPW5;1000;RUR;13.06.2024;0;26.06.2014;13.06.2024;26.06.2014;1001,5;1001,5999999999999;1001,5999999999999;6009000000;23,42;58321767;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;6000000;6000000000;0;1001,5999999999999;278;1001,1;27.06.2017
ЗенитБО-14;7729405872;4B021403255B;30.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUPY1;RU000A0JUPY1;1000;RUR;14.06.2024;0;27.06.2014;28.06.2017;02.07.2014;0;0;0;0;17,47;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;1750000;6000000000;0;0;0;601,1;28.06.2017
РЖД БО-19;7708503727;4B02-19-65045-D;22.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUPZ8;RU000A0JUPZ8;1000;RUR;20.05.2044;0;27.06.2014;20.05.2044;27.06.2014;0;0;0;0;17,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;25000000;25000000;25000000000;0;0;0;0;
РСХБ БО4;7725114488;4B020403349B;21.07.2010;об;ОАО Московская Биржа;7703507076;RU000A0JUQ05;RU000A0JUQ05;1000;RUR;23.06.2017;0;27.06.2014;23.06.2017;27.06.2014;1002;0;1001,1;5010000000;21,06;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1001,1;280;1001,1;
БалтЛиз1;7826705374;4-01-36442-R;11.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQ13;RU000A0JUQ13;1000;RUR;19.06.2020;0;30.06.2014;19.06.2020;27.06.2014;0;0;1000,1999999999999;0;24,29;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;1000,1999999999999;0;0;28.06.2017
БалтЛиз2;7826705374;4-02-36442-R;11.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQ21;RU000A0JUQ21;1000;RUR;19.06.2020;0;30.06.2014;19.06.2020;27.06.2014;0;0;1000,1999999999999;0;24,29;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;1000,1999999999999;0;0;28.06.2017
ГПБ БО-09;7744001497;4B020900354B;30.10.2012;об;ОАО Московская Биржа;7703507076;RU000A0JUQ39;RU000A0JUQ39;1000;RUR;27.06.2017;0;27.06.2014;27.06.2017;27.06.2014;1004,7;0;1009,5999999999999;10047000000;22,17;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1009,5999999999999;111;1001,2;
ИА МТСБ А;7743896735;4-02-81796-H;25.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQ54;RU000A0JUQ54;514,06;RUR;26.11.2041;0;27.06.2014;26.11.2041;27.06.2014;513,5973459999999;0;514,06;1762995307,3707857;1,77;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3432641;3432641;1764583432,4599998;0;514,06;80;359,8419999999999;
ТрансФБО29;7708797192;4B02-29-36182-R;12.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQ96;RU000A0JUQ96;1000;RUR;17.06.2024;0;01.07.2014;17.06.2024;30.06.2014;0;0;1000;0;20,71;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2500000;2500000;2500000000;0;1000;0;0;01.07.2019
АльфаБО-11;7728168971;4B021101326B;19.07.2012;об;ОАО Московская Биржа;7703507076;RU000A0JUQA9;RU000A0JUQA9;1000;RUR;30.06.2017;0;01.07.2014;30.06.2017;30.06.2014;1004,0999999999999;0;1004;5020500000;19,38;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1004;287;1004;
БелгОб2014;3124016792;RU35008BEL0;09.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQB7;RU000A0JUQB7;850;RUR;21.06.2021;0;30.06.2014;;;864,875;864,79;864,875;4324375000;17,86;27525257,13;861,9000000000001;864,875;864,875;9,86;07.09.2016;08.09.2016;EQOB;5000000;5000000;4250000000;864,875;864,875;564;859,86;
АшинМЗ БО1;7401000473;4B02-01-45219-D;21.03.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQC5;RU000A0JUQC5;1000;RUR;17.06.2024;0;30.06.2014;17.06.2024;30.06.2014;0;0;1000;0;23,67;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;1000;0;974,5;
ВТБ БО-26;7702070139;4B022601000B;22.08.2013;об;ОАО Московская Биржа;7703507076;RU000A0JUQE1;RU000A0JUQE1;1000;RUR;23.06.2020;0;01.07.2014;23.06.2020;01.07.2014;1003,4000000000001;1003,4000000000001;1003,5;10034000000;19,94;5368993;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1003,5;109;1001;29.12.2016
ЯрОбл 2014;7604002902;RU35013YRS0;23.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQF8;RU000A0JUQF8;850;RUR;24.09.2019;0;01.07.2014;;;856,715;856,715;860,625;5997005000;16,86;27049088,12;860,625;862,75;860,625;9,62;07.09.2016;08.09.2016;EQOB;7000000;7000000;5950000000;860,625;860,625;503;816,8499999999999;
Якут 35006;1435027673;RU35006RSY0;24.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQH4;RU000A0JUQH4;700;RUR;02.07.2021;0;02.07.2014;;;707,14;0;721;1767850000;13,56;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2500000;2500000;1750000000;0;721;743;686,77;
Росинтруд1;7840393166;4-01-36441-R;05.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQN2;RU000A0JUQN2;1000;RUR;05.02.2021;0;09.12.2014;05.02.2021;30.10.2014;1000;0;1000;1500000000;10,4;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1500000;1500000;1500000000;0;1000;151;1000;14.02.2017
СамарОбл10;6315802231;RU35010SAM0;01.07.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQP7;RU000A0JUQP7;700;RUR;01.07.2021;0;10.07.2014;;10.07.2014;708,61;706,93;708,75;8503320000;11,89;17022441,03;708,68;708,75;701,4699999999999;10,26;07.09.2016;08.09.2016;EQOB;12000000;12000000;8400000000;708,75;708,75;722;700,6999999999999;
МКБ БО-10;7734202860;4B021001978B;27.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQQ5;RU000A0JUQQ5;1000;RUR;10.07.2019;0;11.07.2014;10.07.2019;10.07.2014;1006,7;1005,1;1007;5033500000;17,78;330109365,7;1007;1007;1007;10,67;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1007;1007;462;1001;15.01.2018
МКБ БО-11;7734202860;4B021101978B;27.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQR3;RU000A0JUQR3;1000;RUR;10.07.2019;0;11.07.2014;10.07.2019;10.07.2014;1010,5;1010,5;1010,5;15157500000;19,4;100012696,2;1010,5;1011;1010,5;10,9;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;1010,5;1010,5;296;1010,5;13.07.2017
Стржилинв1;7724260380;4-01-36443-R;30.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUQW3;RU000A0JUQW3;1000;RUR;10.07.2019;0;16.07.2014;10.07.2019;16.07.2014;1001,4;1001,5;1001,3;3004200000;19,56;3130533;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1001,3;126;999;16.01.2017
ТрансФБО30;7708797192;4B02-30-36182-R;12.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUR04;RU000A0JUR04;1000;RUR;05.07.2024;0;21.07.2014;05.07.2024;23.07.2014;0;0;1000;0;14,79;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2500000;2500000;2500000000;0;1000;0;0;21.07.2017
Новсиб2014;5406634649;RU34016ANO0;10.07.2014;об;ОАО Московская Биржа;7703507076;RU000A0JUR46;RU000A0JUR46;900;RUR;08.10.2019;0;09.10.2014;;09.10.2014;929,6999999999999;0;932,4;6507899999,999999;14,9;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;7000000;7000000;6300000000;0;932,4;605;918,18;
ВТБЛизФБО4;7709747412;4B02-04-36292-R;03.06.2014;об;ОАО Московская Биржа;7703507076;RU000A0JURL4;RU000A0JURL4;842,11;RUR;17.07.2024;0;30.07.2014;17.07.2024;30.07.2014;0;0;842,1100000000001;0;11,29;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;8000000;8000000;6736880000;0;842,1100000000001;0;0;28.10.2016
